Step, TotalE, KinE(ev/atom), PotE(ev/at), Temp(K)
0, -0.0181227 ,0.0283768, -0.0748764, 300.001
1, -0.0180712 ,0.0283038, -0.0746788, 299.504
2, -0.0179813 ,0.0281745, -0.0743302, 297.964
3, -0.0178478 ,0.0279776, -0.0738029, 295.249
4, -0.0176648 ,0.0276968, -0.0730584, 291.144
5, -0.0174282 ,0.0273103, -0.0720489, 285.35
6, -0.0171401 ,0.0267914, -0.0707229, 277.502
7, -0.0168163 ,0.0261099, -0.0690361, 267.205
8, -0.0164978 ,0.0252366, -0.0669711, 254.127
9, -0.0162608 ,0.0241531, -0.064567, 238.15
10, -0.0162141 ,0.0228681, -0.0619504, 219.593
11, -0.0164527 ,0.021448, -0.0593487, 199.447
12, -0.0168936 ,0.0200816, -0.0570568, 179.456
13, -0.0171734 ,0.0190886, -0.0553505, 161.859
14, -0.0172068 ,0.0185887, -0.0543842, 148.732
15, -0.0171088 ,0.0185165, -0.0541418, 141.246
16, -0.0170078 ,0.0187292, -0.0544663, 139.293
17, -0.0169777 ,0.0190794, -0.0551366, 141.697
18, -0.0170481 ,0.0194457, -0.0559394, 146.784
19, -0.0171888 ,0.0197611, -0.0567109, 152.924
20, -0.0173676 ,0.0199903, -0.0573482, 158.852
21, -0.0175531 ,0.0201246, -0.0578023, 163.767
22, -0.0177273 ,0.0201685, -0.0580642, 167.283
23, -0.0178688 ,0.0201404, -0.0581495, 169.321
24, -0.0179664 ,0.0200603, -0.0580871, 169.998
25, -0.0180428 ,0.0199346, -0.0579121, 169.532
26, -0.018076 ,0.0197931, -0.0576623, 168.196
27, -0.0180793 ,0.0196476, -0.0573746, 166.28
28, -0.0180822 ,0.0195008, -0.0570837, 164.069
29, -0.0180634 ,0.0193786, -0.0568207, 161.832
30, -0.0180484 ,0.0192811, -0.0566105, 159.807
31, -0.0180421 ,0.0192135, -0.0564691, 158.187
32, -0.0180333 ,0.0191835, -0.0564002, 157.093
33, -0.0180166 ,0.0191895, -0.0563957, 156.555
34, -0.0180035 ,0.0192182, -0.0564398, 156.512
35, -0.0180213 ,0.0192464, -0.0565141, 156.845
36, -0.0180723 ,0.0192633, -0.0565988, 157.411
37, -0.0181394 ,0.0192666, -0.0566725, 158.057
38, -0.0182293 ,0.0192435, -0.0567162, 158.619
39, -0.0183337 ,0.0191935, -0.0567207, 158.954
40, -0.018422 ,0.0191344, -0.0566909, 158.992
41, -0.0184642 ,0.0190897, -0.0566435, 158.769
42, -0.0184904 ,0.0190562, -0.0566029, 158.415
43, -0.0185072 ,0.0190435, -0.0565942, 158.112
44, -0.0184911 ,0.0190728, -0.0566366, 158.054
45, -0.0184428 ,0.0191463, -0.0567355, 158.384
46, -0.0183958 ,0.0192424, -0.0568806, 159.144
47, -0.0183523 ,0.0193491, -0.0570506, 160.256
48, -0.018304 ,0.0194579, -0.0572198, 161.558
49, -0.0182487 ,0.019557, -0.0573626, 162.855
50, -0.0182053 ,0.0196254, -0.057456, 163.95
51, -0.0181875 ,0.0196483, -0.0574841, 164.665
52, -0.018199 ,0.0196227, -0.0574443, 164.882
53, -0.0182365 ,0.0195557, -0.0573478, 164.58
54, -0.0182884 ,0.0194645, -0.0572174, 163.845
55, -0.0183466 ,0.0193677, -0.057082, 162.85
56, -0.0184081 ,0.0192803, -0.0569687, 161.816
57, -0.0184569 ,0.0192171, -0.0568912, 160.945
58, -0.0184992 ,0.0191736, -0.0568464, 160.341
59, -0.0185619 ,0.0191303, -0.0568226, 159.986
60, -0.018621 ,0.0190944, -0.0568098, 159.795
61, -0.0186416 ,0.0190817, -0.056805, 159.693
62, -0.0186329 ,0.0190908, -0.0568145, 159.658
63, -0.0186015 ,0.0191266, -0.0568546, 159.739
64, -0.0185716 ,0.0191863, -0.0569442, 160.06
65, -0.0185583 ,0.0192655, -0.0570892, 160.757
66, -0.0185659 ,0.0193533, -0.0572725, 161.872
67, -0.0186085 ,0.019424, -0.0574566, 163.273
68, -0.0186772 ,0.0194587, -0.0575946, 164.675
69, -0.0187238 ,0.0194614, -0.0576466, 165.724
70, -0.0187275 ,0.0194337, -0.0575949, 166.119
71, -0.0186995 ,0.0193757, -0.0574509, 165.726
72, -0.0186629 ,0.0192935, -0.05725, 164.63
73, -0.0186477 ,0.0191959, -0.0570395, 163.098
74, -0.0186384 ,0.0191108, -0.05686, 161.489
75, -0.0186208 ,0.0190533, -0.0567274, 160.107
76, -0.0186115 ,0.019011, -0.0566334, 159.074
77, -0.0186027 ,0.0189806, -0.0565639, 158.338
78, -0.0186036 ,0.0189566, -0.0565167, 157.799
79, -0.0186273 ,0.0189388, -0.0565048, 157.441
80, -0.0186741 ,0.0189358, -0.0565458, 157.36
81, -0.0186796 ,0.0189806, -0.0566408, 157.68
82, -0.0186392 ,0.0190616, -0.0567624, 158.403
83, -0.0186012 ,0.0191323, -0.0568659, 159.321
84, -0.0185823 ,0.0191668, -0.056916, 160.105
85, -0.0185757 ,0.0191659, -0.0569075, 160.49
86, -0.0185744 ,0.0191475, -0.0568695, 160.44
87, -0.0185768 ,0.0191363, -0.0568495, 160.171
88, -0.0185585 ,0.0191621, -0.0568827, 160.036
89, -0.018525 ,0.019223, -0.0569711, 160.295
90, -0.01852 ,0.0192847, -0.0570894, 160.966
91, -0.0185451 ,0.0193309, -0.0572069, 161.867
92, -0.0185918 ,0.019356, -0.0573038, 162.769
93, -0.0186526 ,0.0193615, -0.0573755, 163.518
94, -0.0187143 ,0.0193569, -0.0574281, 164.078
95, -0.0187622 ,0.0193516, -0.0574653, 164.488
96, -0.0187829 ,0.019348, -0.0574788, 164.772
97, -0.0187893 ,0.0193312, -0.0574517, 164.868
98, -0.018781 ,0.0192942, -0.0573694, 164.65
99, -0.0187689 ,0.0192299, -0.0572286, 164.011
100, -0.0187635 ,0.0191389, -0.0570412, 162.926
101, -0.0187682 ,0.0190326, -0.0568335, 161.487
102, -0.0187671 ,0.0189358, -0.0566387, 159.896
103, -0.0187379 ,0.0188736, -0.0564851, 158.401
104, -0.0186888 ,0.0188504, -0.0563897, 157.22
105, -0.0186527 ,0.0188523, -0.0563573, 156.483
106, -0.0186341 ,0.0188729, -0.0563799, 156.228
107, -0.018623 ,0.018906, -0.0564351, 156.392
108, -0.0186015 ,0.0189449, -0.0564913, 156.803
109, -0.0185682 ,0.0189767, -0.0565215, 157.224
110, -0.0185319 ,0.018993, -0.0565179, 157.454
111, -0.0185177 ,0.0189882, -0.0564941, 157.435
112, -0.018539 ,0.0189655, -0.05647, 157.262
113, -0.0186042 ,0.0189264, -0.056457, 157.081
114, -0.0187025 ,0.0188794, -0.0564613, 156.983
115, -0.018801 ,0.0188456, -0.0564922, 157.022
116, -0.0188709 ,0.0188427, -0.0565562, 157.265
117, -0.0189165 ,0.018866, -0.0566485, 157.758
118, -0.0189427 ,0.0189055, -0.0567537, 158.463
119, -0.0189425 ,0.018957, -0.0568565, 159.269
120, -0.0189245 ,0.0190118, -0.0569481, 160.06
121, -0.0188582 ,0.0190834, -0.0570251, 160.767
122, -0.0187824 ,0.019151, -0.0570844, 161.36
123, -0.0187058 ,0.0192071, -0.0571201, 161.815
124, -0.0186424 ,0.0192401, -0.0571226, 162.085
125, -0.0185974 ,0.0192424, -0.0570823, 162.097
126, -0.0185611 ,0.0192172, -0.0569955, 161.781
127, -0.0185558 ,0.0191562, -0.0568682, 161.11
128, -0.0185779 ,0.0190696, -0.0567172, 160.13
129, -0.0186 ,0.0189847, -0.0565693, 158.972
130, -0.0186439 ,0.0189075, -0.056459, 157.843
131, -0.0187042 ,0.0188585, -0.0564212, 157.006
132, -0.0187334 ,0.0188718, -0.0564769, 156.724
133, -0.0187728 ,0.0189221, -0.0566169, 157.151
134, -0.0188429 ,0.0189792, -0.0568014, 158.215
135, -0.0189368 ,0.0190219, -0.0569806, 159.618
136, -0.0190299 ,0.0190452, -0.0571204, 160.99
137, -0.0190999 ,0.019056, -0.0572118, 162.071
138, -0.0191606 ,0.0190517, -0.057264, 162.786
139, -0.019201 ,0.0190439, -0.0572888, 163.199
140, -0.0191852 ,0.0190519, -0.057289, 163.393
141, -0.0191359 ,0.0190612, -0.0572583, 163.392
142, -0.0190701 ,0.0190596, -0.0571894, 163.15
143, -0.019002 ,0.0190399, -0.0570818, 162.617
144, -0.018955 ,0.0189949, -0.0569447, 161.789
145, -0.0189328 ,0.0189304, -0.0567937, 160.735
146, -0.0189094 ,0.0188676, -0.0566445, 159.573
147, -0.0188779 ,0.0188156, -0.0565091, 158.423
148, -0.0188507 ,0.0187733, -0.0563973, 157.377
149, -0.018844 ,0.0187397, -0.0563233, 156.517
150, -0.0188523 ,0.0187272, -0.0563067, 155.954
151, -0.018869 ,0.0187461, -0.0563612, 155.832
152, -0.0188959 ,0.018792, -0.0564799, 156.251
153, -0.0189286 ,0.0188527, -0.0566341, 157.155
154, -0.0189591 ,0.0189136, -0.0567864, 158.329
155, -0.0189318 ,0.0189868, -0.0569054, 159.494
156, -0.0188696 ,0.0190515, -0.0569725, 160.407
157, -0.0188102 ,0.0190861, -0.0569823, 160.924
158, -0.0187619 ,0.0190894, -0.0569407, 161.004
159, -0.0187008 ,0.0190816, -0.056864, 160.69
160, -0.0186141 ,0.0190804, -0.0567748, 160.108
161, -0.0185618 ,0.019066, -0.0566938, 159.428
162, -0.0185688 ,0.0190317, -0.0566322, 158.806
163, -0.0186116 ,0.0189902, -0.056592, 158.33
164, -0.0186467 ,0.0189605, -0.0565677, 158.016
165, -0.0186483 ,0.0189495, -0.0565473, 157.82
166, -0.0186499 ,0.018933, -0.056516, 157.654
167, -0.0186523 ,0.0189053, -0.0564629, 157.405
168, -0.0186312 ,0.0188779, -0.056387, 156.992
169, -0.0186312 ,0.0188331, -0.0562973, 156.408
170, -0.0186531 ,0.018778, -0.0562091, 155.721
171, -0.0186713 ,0.0187335, -0.0561382, 155.045
172, -0.0186514 ,0.0187234, -0.0560982, 154.503
173, -0.01862 ,0.0187372, -0.0560944, 154.196
174, -0.0185983 ,0.0187613, -0.056121, 154.165
175, -0.0185819 ,0.0187907, -0.0561633, 154.364
176, -0.0185652 ,0.0188192, -0.0562036, 154.683
177, -0.0185549 ,0.018836, -0.0562268, 154.987
178, -0.0185498 ,0.0188391, -0.056228, 155.165
179, -0.0185522 ,0.0188337, -0.0562196, 155.18
180, -0.0185625 ,0.0188351, -0.0562326, 155.132
181, -0.0185686 ,0.0188668, -0.0563021, 155.252
182, -0.018527 ,0.0189573, -0.0564416, 155.799
183, -0.0184648 ,0.0190823, -0.0566294, 156.869
184, -0.0184118 ,0.0192054, -0.0568227, 158.302
185, -0.0183715 ,0.0193039, -0.0569794, 159.778
186, -0.0183268 ,0.0193729, -0.0570727, 160.978
187, -0.0182967 ,0.0193986, -0.0570939, 161.697
188, -0.0182886 ,0.0193805, -0.0570496, 161.865
189, -0.01828 ,0.0193381, -0.0569562, 161.531
190, -0.0182753 ,0.0192793, -0.0568339, 160.817
191, -0.0183043 ,0.0191998, -0.0567039, 159.881
192, -0.0183713 ,0.0191071, -0.0565854, 158.884
193, -0.0184461 ,0.0190234, -0.0564929, 157.974
194, -0.0184892 ,0.018972, -0.0564332, 157.261
195, -0.0184931 ,0.0189562, -0.0564055, 156.798
196, -0.0184751 ,0.0189647, -0.0564045, 156.58
197, -0.0184711 ,0.0189766, -0.0564243, 156.568
198, -0.0184746 ,0.0189926, -0.0564598, 156.719
199, -0.0184703 ,0.019017, -0.0565044, 156.99
200, -0.018426 ,0.0190616, -0.0565491, 157.33
201, -0.0183849 ,0.0191007, -0.0565862, 157.671
202, -0.0183617 ,0.0191276, -0.0566169, 157.958
203, -0.0183656 ,0.0191439, -0.0566534, 158.203
204, -0.0183927 ,0.0191586, -0.05671, 158.494
205, -0.0183909 ,0.0191997, -0.0567904, 158.935
206, -0.0183801 ,0.019252, -0.0568842, 159.553
207, -0.0183574 ,0.0193093, -0.056976, 160.273
208, -0.0183322 ,0.0193617, -0.0570555, 160.98
209, -0.0183258 ,0.0193967, -0.0571193, 161.596
210, -0.0183425 ,0.0194126, -0.0571677, 162.091
211, -0.0183695 ,0.0194177, -0.0572049, 162.469
212, -0.0184206 ,0.0194102, -0.0572409, 162.763
213, -0.0185037 ,0.019393, -0.0572898, 163.05
214, -0.0186155 ,0.0193736, -0.0573627, 163.435
215, -0.0187338 ,0.0193629, -0.0574596, 164
216, -0.0188274 ,0.0193682, -0.0575638, 164.741
217, -0.0188779 ,0.0193831, -0.0576441, 165.531
