The system temp is: 4.14293 
The final system temp is: 2.38868 
Fx(N),            Fy(N),            Fz(N)
4.62579e-11,    1.52327e-10,    4.62579e-11
-1.13691e-10,    3.37526e-10,    -1.13691e-10
-9.19339e-11,    -5.74182e-11,    -9.19339e-11
-1.35344e-10,    4.08971e-11,    -1.35344e-10
-5.50804e-11,    -2.34738e-11,    -5.50804e-11
3.9937e-10,    -1.54103e-10,    3.9937e-10
3.09318e-11,    -1.47651e-10,    3.09318e-11
-7.60022e-11,    1.43378e-12,    -7.60022e-11
1.80563e-10,    -1.46644e-10,    1.80563e-10
-1.80117e-10,    5.16671e-11,    -1.80117e-10
-7.16491e-10,    -1.88441e-10,    -7.16491e-10
-4.56586e-10,    -7.40903e-11,    -4.56586e-10
3.70555e-11,    -1.78752e-10,    3.70555e-11
1.84664e-10,    -6.68679e-11,    1.84664e-10
-2.13727e-11,    1.0034e-10,    -2.13727e-11
1.58827e-10,    -2.64961e-10,    1.58827e-10
-2.92591e-10,    4.65416e-10,    -2.92591e-10
-2.85515e-11,    -2.28773e-11,    -2.85515e-11
2.78317e-11,    2.3219e-11,    2.78317e-11
-5.95317e-11,    3.40152e-12,    -5.95317e-11
6.93954e-11,    1.9017e-10,    6.93954e-11
4.77587e-12,    5.9291e-12,    4.77587e-12
-3.98307e-10,    -4.50661e-11,    -3.98307e-10
-4.12107e-12,    1.3038e-11,    -4.12107e-12
4.2473e-11,    -1.7258e-10,    4.2473e-11
-4.35348e-10,    -3.11924e-10,    -4.35348e-10
2.09912e-10,    3.90935e-10,    2.09912e-10
-1.5781e-10,    -3.24682e-11,    -1.5781e-10
4.32954e-10,    1.49728e-11,    4.32954e-10
-3.70529e-11,    3.75623e-11,    -3.70529e-11
3.84215e-11,    4.34469e-11,    3.84215e-11
6.0434e-11,    -1.03512e-10,    6.0434e-11
4.8772e-11,    -8.47587e-11,    4.8772e-11
-9.5229e-11,    -3.44809e-11,    -9.5229e-11
2.83451e-10,    -4.70087e-10,    2.83451e-10
-2.45003e-11,    -7.66385e-11,    -2.45003e-11
-9.28486e-11,    -1.33822e-10,    -9.28486e-11
7.38849e-11,    -1.28176e-10,    7.38849e-11
1.12609e-10,    -2.53758e-10,    1.12609e-10
-4.2174e-11,    1.33917e-10,    -4.2174e-11
1.52065e-10,    7.22127e-11,    1.52065e-10
-1.07085e-09,    3.86121e-10,    -1.07085e-09
4.20373e-12,    -1.83985e-10,    4.20373e-12
-1.87271e-11,    1.52023e-11,    -1.87271e-11
2.66566e-10,    -2.35121e-11,    2.66566e-10
1.99452e-11,    -9.47077e-11,    1.99452e-11
-1.01251e-10,    8.4688e-11,    -1.01251e-10
-3.46155e-11,    -5.16766e-11,    -3.46155e-11
2.16689e-11,    -9.13351e-11,    2.16689e-11
9.87898e-12,    -1.0303e-10,    9.87898e-12
-7.46104e-11,    -4.0103e-11,    -7.46104e-11
-9.49478e-11,    -1.12614e-10,    -9.49478e-11
1.36821e-10,    1.96384e-10,    1.36821e-10
-3.59875e-10,    -2.01992e-12,    -3.59875e-10
6.71818e-12,    7.174e-11,    6.71818e-12
-1.59933e-10,    -2.4389e-10,    -1.59933e-10
1.6713e-10,    1.81398e-11,    1.6713e-10
-1.57899e-10,    2.00069e-11,    -1.57899e-10
-1.10463e-10,    -1.58421e-10,    -1.10463e-10
2.3499e-10,    7.33295e-11,    2.3499e-10
-1.91204e-10,    -8.12334e-12,    -1.91204e-10
1.06731e-09,    -1.3274e-10,    1.06731e-09
3.20967e-10,    -1.4198e-10,    3.20967e-10
8.09977e-11,    -4.79262e-11,    8.09977e-11
-6.79251e-12,    -1.73482e-11,    -6.79251e-12
-2.13526e-10,    1.04175e-10,    -2.13526e-10
-3.95416e-11,    1.58847e-12,    -3.95416e-11
1.22858e-10,    -8.96544e-11,    1.22858e-10
-2.69932e-11,    2.15428e-10,    -2.69932e-11
-1.68828e-10,    4.21158e-11,    -1.68828e-10
-6.79925e-11,    1.07403e-10,    -6.79925e-11
5.84761e-11,    -5.50807e-11,    5.84761e-11
1.68158e-12,    -2.54458e-11,    1.68158e-12
1.69337e-10,    8.75979e-11,    1.69337e-10
-1.03196e-11,    1.05133e-11,    -1.03196e-11
1.09323e-09,    -2.60533e-10,    1.09323e-09
-1.19127e-10,    -8.73826e-11,    -1.19127e-10
-5.41769e-11,    -1.26891e-12,    -5.41769e-11
2.69278e-11,    1.92287e-10,    2.69278e-11
1.90228e-11,    2.89371e-11,    1.90228e-11
-2.26903e-10,    3.02897e-10,    -2.26903e-10
4.11741e-11,    -1.16591e-10,    4.11741e-11
-2.14073e-10,    -2.12438e-10,    -2.14073e-10
5.58866e-11,    -1.69498e-10,    5.58866e-11
4.4862e-10,    4.47698e-10,    4.4862e-10
-3.61245e-11,    1.30846e-10,    -3.61245e-11
-1.90805e-10,    2.15016e-10,    -1.90805e-10
1.95124e-10,    -3.13245e-10,    1.95124e-10
4.57826e-11,    2.32736e-10,    4.57826e-11
-2.38723e-10,    4.43005e-11,    -2.38723e-10
6.71801e-10,    -1.10597e-10,    6.71801e-10
4.28544e-11,    8.63878e-11,    4.28544e-11
8.70834e-12,    -6.47758e-12,    8.70834e-12
-6.95601e-11,    -1.10169e-10,    -6.95601e-11
2.64381e-11,    2.77418e-11,    2.64381e-11
-1.13622e-09,    -4.24584e-10,    -1.13622e-09
9.26916e-11,    2.54139e-11,    9.26916e-11
-1.05346e-10,    -4.94686e-10,    -1.05346e-10
-1.35466e-10,    -7.47011e-11,    -1.35466e-10
-8.52019e-11,    3.33854e-11,    -8.52019e-11
-4.41999e-11,    -1.34417e-11,    -4.41999e-11
-2.00317e-11,    -7.50781e-11,    -2.00317e-11
3.24761e-11,    1.64352e-10,    3.24761e-11
1.39669e-10,    -3.58769e-11,    1.39669e-10
2.72291e-10,    1.43155e-11,    2.72291e-10
1.56271e-10,    1.98705e-10,    1.56271e-10
-5.73826e-11,    -9.77489e-11,    -5.73826e-11
1.4038e-10,    8.23757e-11,    1.4038e-10
-6.28594e-11,    -1.35096e-10,    -6.28594e-11
4.50339e-10,    1.37718e-10,    4.50339e-10
1.39524e-10,    -2.564e-11,    1.39524e-10
1.83875e-10,    -9.46546e-11,    1.83875e-10
9.60736e-15,    -7.46963e-11,    9.60736e-15
1.54357e-10,    -4.28654e-10,    1.54357e-10
-1.77163e-10,    5.03695e-10,    -1.77163e-10
-1.72294e-10,    1.42498e-10,    -1.72294e-10
-2.92315e-10,    -2.11205e-10,    -2.92315e-10
-6.14107e-11,    -1.55201e-10,    -6.14107e-11
6.99768e-11,    1.04891e-10,    6.99768e-11
1.70714e-10,    6.50183e-11,    1.70714e-10
2.37234e-11,    4.05256e-11,    2.37234e-11
-5.69153e-11,    6.1222e-11,    -5.69153e-11
-8.27857e-12,    -2.31548e-10,    -8.27857e-12
-1.11788e-10,    1.00264e-10,    -1.11788e-10
1.22882e-10,    2.55403e-10,    1.22882e-10
-1.47723e-10,    -1.52597e-10,    -1.47723e-10
2.333e-10,    -1.82973e-10,    2.333e-10
-2.15245e-10,    -6.48563e-11,    -2.15245e-10
2.13882e-11,    -8.27362e-11,    2.13882e-11
-2.40211e-10,    1.794e-10,    -2.40211e-10
1.78937e-12,    -2.04921e-11,    1.78937e-12
-3.34719e-12,    -1.30363e-10,    -3.34719e-12
-9.64365e-11,    1.64518e-10,    -9.64365e-11
3.4499e-11,    -6.81624e-12,    3.4499e-11
-4.52966e-11,    -7.2776e-11,    -4.52966e-11
-9.1481e-11,    8.92839e-11,    -9.1481e-11
-1.16284e-10,    -2.42972e-11,    -1.16284e-10
-8.44035e-11,    1.44534e-12,    -8.44035e-11
1.78002e-11,    2.62372e-11,    1.78002e-11
4.42011e-11,    -4.85374e-11,    4.42011e-11
5.17322e-12,    3.4485e-11,    5.17322e-12
-1.41553e-10,    1.41825e-10,    -1.41553e-10
-8.35432e-12,    1.6603e-10,    -8.35432e-12
2.84467e-11,    -4.03354e-11,    2.84467e-11
2.05459e-12,    -1.69014e-11,    2.05459e-12
9.18829e-11,    -5.37141e-11,    9.18829e-11
-3.29372e-11,    2.46525e-11,    -3.29372e-11
4.31553e-11,    -1.24242e-10,    4.31553e-11
2.82475e-11,    -1.77813e-10,    2.82475e-11
1.48069e-11,    1.79958e-12,    1.48069e-11
1.98442e-10,    6.01245e-11,    1.98442e-10
-1.8621e-10,    -2.98028e-11,    -1.8621e-10
-4.97972e-11,    -9.16423e-11,    -4.97972e-11
-1.3034e-12,    3.82011e-11,    -1.3034e-12
5.29485e-11,    8.4631e-12,    5.29485e-11
3.2556e-11,    -4.30762e-11,    3.2556e-11
6.97758e-11,    -7.35745e-11,    6.97758e-11
-6.37842e-11,    3.39636e-11,    -6.37842e-11
2.86296e-11,    -2.25186e-11,    2.86296e-11
-3.62335e-12,    -1.09568e-10,    -3.62335e-12
-2.85417e-11,    -3.8547e-11,    -2.85417e-11
3.88981e-11,    -7.71129e-11,    3.88981e-11
-2.51204e-10,    8.46786e-11,    -2.51204e-10
6.26854e-11,    -1.12579e-10,    6.26854e-11
2.13878e-11,    -5.94564e-11,    2.13878e-11
9.37978e-11,    -3.06801e-10,    9.37978e-11
-9.99474e-11,    -1.45683e-10,    -9.99474e-11
1.8887e-10,    1.68907e-10,    1.8887e-10
7.63291e-11,    -1.78267e-10,    7.63291e-11
-5.84723e-12,    1.79737e-10,    -5.84723e-12
-5.80405e-10,    -2.49259e-11,    -5.80405e-10
-1.48696e-10,    2.01671e-10,    -1.48696e-10
1.06264e-10,    6.14427e-11,    1.06264e-10
-2.78753e-11,    -6.02471e-11,    -2.78753e-11
1.1635e-10,    -3.12352e-10,    1.1635e-10
-1.26773e-11,    7.96013e-11,    -1.26773e-11
1.40753e-10,    4.85963e-10,    1.40753e-10
1.18751e-10,    -7.59956e-11,    1.18751e-10
-7.77202e-11,    -4.00018e-11,    -7.77202e-11
2.6042e-10,    -2.8188e-11,    2.6042e-10
1.63446e-10,    1.37165e-10,    1.63446e-10
-1.01133e-10,    1.80631e-10,    -1.01133e-10
4.54597e-11,    -3.65218e-11,    4.54597e-11
9.70245e-11,    -1.59331e-11,    9.70245e-11
-1.15151e-10,    -8.81454e-11,    -1.15151e-10
-4.92494e-11,    -5.04103e-11,    -4.92494e-11
1.41539e-10,    1.09922e-10,    1.41539e-10
-8.3692e-12,    -3.96527e-11,    -8.3692e-12
-1.24212e-10,    -3.28005e-12,    -1.24212e-10
-7.66602e-11,    -1.43359e-10,    -7.66602e-11
-7.51968e-11,    -1.1138e-11,    -7.51968e-11
-1.29816e-10,    6.41592e-11,    -1.29816e-10
2.98898e-11,    -4.7261e-11,    2.98898e-11
1.96555e-10,    -7.95169e-11,    1.96555e-10
-7.21784e-11,    2.72767e-10,    -7.21784e-11
3.13752e-12,    -7.77354e-11,    3.13752e-12
9.71172e-11,    2.40199e-10,    9.71172e-11
